,Uid,Swim_beach
735,-155.95915_19.60631,True
736,-155.95915_19.60652,True
737,-155.95915_19.60673,True
738,-155.95876_19.60680,True
739,-155.95877_19.60660,True
740,-155.95876_19.60639,True
741,-155.95876_19.60618,True
742,-155.95875_19.60598,True
743,-155.95875_19.60577,True
744,-155.95874_19.60556,True
745,-155.95873_19.60535,True
746,-155.95873_19.60514,True
747,-155.95872_19.60462,True
748,-155.95814_19.60341,True
749,-155.95815_19.60366,True
750,-155.95816_19.60391,True
751,-155.95817_19.60416,True
752,-155.95818_19.60451,True
753,-155.95819_19.60472,True
754,-155.95820_19.60493,True
755,-155.95821_19.60514,True
756,-155.95822_19.60535,True
757,-155.95823_19.60556,True
758,-155.95824_19.60576,True
759,-155.95824_19.60597,True
760,-155.95825_19.60618,True
761,-155.95826_19.60639,True
762,-155.95788_19.60684,True
763,-155.95788_19.60661,True
764,-155.95787_19.60640,True
765,-155.95786_19.60619,True
766,-155.95786_19.60599,True
767,-155.95785_19.60578,True
768,-155.95784_19.60557,True
769,-155.95783_19.60536,True
770,-155.95782_19.60515,True
771,-155.95782_19.60495,True
772,-155.95781_19.60474,True
773,-155.95780_19.60453,True
774,-155.95779_19.60418,True
775,-155.95778_19.60393,True
776,-155.95777_19.60368,True
777,-155.95776_19.60343,True
778,-155.95776_19.60319,True
779,-155.95675_19.60353,True
780,-155.95629_19.60390,True
781,-155.95733_19.60686,True
782,-155.95734_19.60630,True
783,-155.95733_19.60657,True
784,-155.95732_19.60602,True
785,-155.95730_19.60546,True
786,-155.95729_19.60519,True
787,-155.95728_19.60491,True
788,-155.95727_19.60463,True
789,-155.95727_19.60435,True
790,-155.95687_19.60448,True
791,-155.95688_19.60481,True
792,-155.95689_19.60514,True
793,-155.95692_19.60584,True
794,-155.95693_19.60624,True
795,-155.95695_19.60654,True
796,-155.95700_19.60685,True
797,-155.95683_19.60691,True
798,-155.95649_19.60649,True
799,-155.95644_19.60618,True
800,-155.95642_19.60586,True
801,-155.95637_19.60547,True
802,-155.95634_19.60470,True
803,-155.95632_19.60445,True
804,-155.95726_19.60389,True
805,-155.95726_19.60342,True
