,Uid,UserDays
844,-159.30547_22.14472,29
845,-159.30590_22.14508,29
846,-159.31532_22.14653,13
847,-159.30529_22.13597,0
848,-159.30764_22.13737,0
849,-159.30517_22.13709,0
850,-159.30207_22.13665,0
851,-159.30203_22.13743,0
852,-159.30152_22.13626,0
853,-159.55512_22.22285,17
854,-159.30545_22.13858,0
855,-159.30499_22.13873,0
856,-159.30050_22.14169,0
857,-159.31717_22.15750,23
858,-159.31253_22.15811,23
859,-159.30959_22.16612,1
860,-159.33326_22.19321,6
861,-159.38321_22.20030,0
862,-159.41464_22.21901,37
863,-159.41088_22.20764,25
864,-159.41040_22.20860,25
865,-159.40485_22.21189,2
866,-159.40566_22.21082,6
867,-159.40739_22.21158,19
868,-159.41113_22.20673,37
869,-159.42428_22.21842,15
870,-159.40621_22.20377,6
871,-159.40119_22.21482,368
872,-159.40395_22.21025,2
873,-159.40457_22.20846,2
874,-159.40300_22.20200,2
875,-159.40184_22.20194,441
876,-159.40864_22.20752,19
877,-159.40658_22.20820,6
878,-159.40638_22.20813,6
879,-159.40783_22.20653,19
880,-159.50532_22.20119,81
881,-159.55924_22.22302,112
882,-159.44435_22.22286,72
883,-159.45393_22.22530,32
884,-159.46329_22.22242,35
885,-159.46735_22.18554,96
886,-159.49562_22.20383,96
887,-159.54660_22.21043,57
888,-159.54603_22.22298,80
889,-159.54785_22.22299,56
890,-159.54750_22.22016,56
891,-159.54484_22.22035,93
892,-159.57815_21.90946,54
893,-159.57835_21.90906,47
894,-159.72372_21.97410,17
895,-159.72412_21.97493,17
896,-159.72213_21.97546,17
897,-159.72145_21.97406,17
898,-159.66349_21.96493,86
899,-159.72509_21.97179,17
900,-159.69604_21.96199,13
901,-159.69586_21.96197,13
902,-159.67195_21.96282,72
903,-159.72281_21.97106,17
904,-159.72161_21.97145,11
905,-159.71975_21.97108,9
906,-159.71813_21.97081,9
907,-159.71846_21.97405,11
908,-159.71521_21.96828,16
909,-159.70125_21.96180,9
910,-159.70282_21.96512,9
911,-159.70383_21.96471,9
912,-159.70394_21.96554,8
913,-159.70511_21.96543,8
914,-159.70743_21.96404,8
915,-159.70752_21.96492,8
916,-159.70724_21.96606,6
917,-159.71351_21.97113,16
918,-159.71453_21.97249,12
919,-159.70431_21.96326,9
920,-159.70500_21.96359,9
921,-159.70797_21.96235,8
922,-159.71181_21.96656,15
923,-159.71181_21.96685,15
924,-159.67963_22.10601,1
925,-159.67968_22.10211,1
926,-159.67759_22.10688,1
927,-159.64967_22.12687,28
928,-159.45912_21.90326,94
