,FID,TMK,OSDS_QTY,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,EFFLUENT,N_FLUX,P_FLUX,SOURCE,NO_STRUCT,TTL_BDRMS,NO_BATH,X,Y,Island,OSDS_TYP,B_ROOMS,BATHS,Class_type,commercial,type,OSDS_QTY_calc
111,9,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.637779977,20.8540689278,Maui, ,0.0,0.0, , , ,16.0
112,10,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.637039965,20.8543211507,Maui, ,0.0,0.0, , , ,16.0
113,11,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.63697334,20.8543235302,Maui, ,0.0,0.0, , , ,16.0
114,12,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.636992376,20.8542188339,Maui, ,0.0,0.0, , , ,16.0
115,13,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.637078036,20.854152209,Maui, ,0.0,0.0, , , ,16.0
116,14,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.637025688,20.8540736868,Maui, ,0.0,0.0, , , ,16.0
117,15,247010003,16.0,16.0,0.0,0.0,0.0,13800.0,0.052233,0.104466,Dwelling Database,1.0,69.0,2.0,-156.636949546,20.8539808878,Maui, ,0.0,0.0, , , ,16.0
229,0,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.07125633,19.7011209911,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
230,1,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.070709231,19.7017217025,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
231,2,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.070569978,19.7018016443,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
232,3,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.070438461,19.7018738498,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
233,4,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.070296628,19.7019641067,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
234,5,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.070162532,19.7020311547,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
235,6,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.070018121,19.7021007815,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
236,7,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.069904656,19.7019022163,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
237,8,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.070015543,19.7018145382,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
238,9,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.070154796,19.7017371751,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
239,10,322038006,11.0,5.0,0.0,0.0,6.0,2625.0,0.626035,0.108389, ,0.0,0.0,0.0,-155.07029405,19.7016623908,BI,Soil Treatment & Cesspool,25.0,20.0,Septic, , ,11.0
240,0,326008023,105.0,0.0,0.0,0.0,105.0,315.0,0.103728,0.022653, ,0.0,0.0,0.0,-155.093200831,19.7311603685,BI,Cesspool,2.0,0.0,Cesspool, , ,105.0
241,0,362002021,40.0,1.0,0.0,0.0,-40.0,9345.0,3.077262,0.672046, ,0.0,0.0,0.0,-155.821211689,20.0072836907,BI,Cesspool,89.0,0.0,Cesspool, , ,-39.0
242,0,362013013,102.0,0.0,0.0,0.0,102.0,315.0,0.103728,0.022653, ,0.0,0.0,0.0,-155.811400701,20.006050207,BI,Cesspool,2.0,0.0,Cesspool, , ,102.0
243,1,362013013,102.0,0.0,0.0,0.0,102.0,315.0,0.103728,0.022653, ,0.0,0.0,0.0,-155.811388506,20.0059196341,BI,Cesspool,2.0,0.0,Cesspool, , ,102.0
